,name,year,selling_price,km_driven,fuel,transmission,owner
0,Maruti 800 AC,2007,60000,70000,Petrol,Manual,LabelEncoder()
1,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Manual,LabelEncoder()
2,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Manual,LabelEncoder()
3,Datsun RediGO T Option,2017,250000,46000,Petrol,Manual,LabelEncoder()
4,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Manual,LabelEncoder()
5,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Manual,LabelEncoder()
6,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Manual,LabelEncoder()
7,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Manual,LabelEncoder()
8,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Manual,LabelEncoder()
9,Maruti Celerio Green VXI,2017,365000,78000,CNG,Manual,LabelEncoder()
10,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Manual,LabelEncoder()
11,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Manual,LabelEncoder()
12,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Automatic,LabelEncoder()
26,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Manual,LabelEncoder()
27,Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Manual,LabelEncoder()
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Manual,LabelEncoder()
29,Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Automatic,LabelEncoder()
30,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Automatic,LabelEncoder()
31,Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Automatic,LabelEncoder()
32,Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Automatic,LabelEncoder()
33,Honda City V MT,2018,930000,14500,Petrol,Manual,LabelEncoder()
34,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Manual,LabelEncoder()
35,Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Automatic,LabelEncoder()
36,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Automatic,LabelEncoder()
37,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Automatic,LabelEncoder()
38,Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Automatic,LabelEncoder()
39,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Manual,LabelEncoder()
40,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Manual,LabelEncoder()
41,Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Automatic,LabelEncoder()
42,Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Manual,LabelEncoder()
43,BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Automatic,LabelEncoder()
44,Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Automatic,LabelEncoder()
45,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Manual,LabelEncoder()
46,Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Manual,LabelEncoder()
47,Honda City i DTEC V,2014,560000,74000,Diesel,Manual,LabelEncoder()
